Date,soy_usd,usdbrl,beta,predicted,residual,z_score,signal,position,days_held
2024-08-05,1044.25,5.7266998291015625,-0.0016650110278420176,5.389734121113204,0.3369657079883588,2.174665841925869,0,-1,1
2024-08-06,1028.5,5.720900058746338,-0.001710722043954493,5.42636054662894,0.2945395121173977,1.8857016903166663,0,-1,2
2024-08-07,1020.25,5.6554999351501465,-0.0017601695317805701,5.4516226969382675,0.20387723821187897,1.2992386592174192,0,-1,3
2024-08-08,1009.75,5.635799884796143,-0.0018016110787218251,5.479494473297389,0.15630541149875388,0.9953389422007423,0,-1,4
2024-08-09,1028.0,5.54610013961792,-0.0018341110651642195,5.453267628085419,0.09283251153250127,0.5911078401266837,0,-1,5
2024-08-12,1012.0,5.50629997253418,-0.001855110801372753,5.487072344363339,0.01922762817084056,0.1225038469424081,1,0,0
2024-08-13,989.0,5.491899967193604,-0.0018680575760205362,5.53240986064827,-0.040509893454665935,-0.25843694257740757,0,0,0
2024-08-14,979.75,5.455699920654297,-0.0018657894294897871,5.548749767554414,-0.09304984690011686,-0.5936851590000642,0,0,0
2024-08-15,951.5,5.468900203704834,-0.0018596568830109327,5.599016917681971,-0.1301167139771371,-0.8302456436538874,0,0,0
2024-08-16,938.75,5.484899997711182,-0.0018482111239905734,5.618522277802318,-0.13362228009113597,-0.8522283370786423,0,0,0
2024-08-19,956.25,5.47130012512207,-0.0018396912948124705,5.582812922436931,-0.11151279731486063,-0.7113539143973182,0,0,0
2024-08-20,957.25,5.405600070953369,-0.0018360993798360874,5.578999210109078,-0.17339913915570904,-1.1069417725716542,0,0,0
2024-08-21,963.0,5.478099822998047,-0.0018230888358364448,5.563919081144716,-0.08581925814666924,-0.5472242967003677,0,0,0
2024-08-22,941.25,5.482500076293945,-0.0018194768992926041,5.601845266339487,-0.119345190045542,-0.7611265735364051,0,0,0
2024-08-23,952.0,5.59089994430542,-0.0018070815808889302,5.578433430408461,0.012466513896958631,0.07942059633326257,0,0,0
2024-08-26,959.75,5.485400199890137,-0.0018138623843429306,5.565896062841757,-0.08049586295162037,-0.5130625604082548,0,0,0
2024-08-27,967.5,5.495699882507324,-0.0018125769303469802,5.550823868725147,-0.055123986217822996,-0.35142118550413753,0,0,0
2024-08-28,958.5,5.507900238037109,-0.0018122031796898865,5.5665298723501015,-0.058629634312992174,-0.37384206885771226,0,0,0
2024-08-29,973.75,5.56220006942749,-0.0018097995040585273,5.537889768316384,0.024310301111106547,0.1550006609416205,0,0,0
2024-08-30,982.0,5.627699851989746,-0.0018150808515987567,5.5240498027145755,0.10365004927517063,0.6609690180764506,0,0,0
2024-09-03,997.0,5.615099906921387,-0.0018307080088109386,5.50007072935496,0.11502917756642628,0.7336383110217497,0,0,0
2024-09-04,1006.0,5.647500038146973,-0.0018445977814619031,5.486493064561193,0.16100697358577953,1.0263560912478666,0,0,0
2024-09-05,1008.25,5.642000198364258,-0.0018651070431473457,5.486453358240192,0.1555468401240656,0.9909883205236222,0,0,0
2024-09-06,989.25,5.567500114440918,-0.0018832971846036804,5.525907990744697,0.041592123696220895,0.26478425912811016,0,0,0
2024-09-09,1000.0,5.59660005569458,-0.0018939966789321657,5.507460163137674,0.08913989255690602,0.5681815923831739,0,0,0
2024-09-10,977.5,5.5843000411987305,-0.0019091009073729738,5.55320674592958,0.031093295269150723,0.19840237080116918,0,0,0
2024-09-11,979.75,5.662899971008301,-0.0019143200106371476,5.549963328108685,0.11293664289961569,0.7207437298300123,0,0,0
2024-09-12,991.5,5.667399883270264,-0.001927504747397258,5.530307648838683,0.1370922344315808,0.8744662918588506,0,0,0
2024-09-13,986.75,5.625699996948242,-0.0019413248320681894,5.542632023143733,0.08306797380450881,0.5292541191075716,0,0,0
2024-09-16,1004.5,5.612370014190674,-0.0019482528467665377,5.509767737894333,0.10260227629634056,0.6533632698227826,0,0,0
2024-09-17,1006.0,5.503900051116943,-0.001953699530288379,5.508407817228988,-0.004507766112044287,-0.028683742112335313,0,0,0
2024-09-18,1014.0,5.4816999435424805,-0.0019511480092197823,5.492508736608714,-0.010808793066233946,-0.06879231453853135,0,0,0
2024-09-19,1013.25,5.460999965667725,-0.001949077384782868,5.4936819859854324,-0.03268202031770784,-0.20801704483379457,0,0,0
2024-09-20,1012.0,5.423900127410889,-0.001944476088475,5.495447458301907,-0.07154733089101839,-0.4555244431070606,0,0,0
2024-09-23,1039.25,5.513599872589111,-0.0019397248157372734,5.4415011884127376,0.07209868417637377,0.45884964260929345,0,0,0
2024-09-24,1042.25,5.536099910736084,-0.0019432304460532232,5.436500745022166,0.09959916571391769,0.6336061582589128,0,0,0
2024-09-25,1053.25,5.449699878692627,-0.001949825077476991,5.416243275525598,0.033456603167029364,0.21269275208512073,0,0,0
2024-09-26,1041.0,5.473800182342529,-0.0019537695733530306,5.440598586504747,0.033201595837782705,0.211109544441157,0,0,0
2024-09-27,1065.75,5.436699867248535,-0.0019598932555196925,5.3926616099583455,0.04403825729018962,0.2802588956398343,0,0,0
2024-09-30,1057.0,5.433199882507324,-0.001963322926579966,5.41021647346619,0.022983409041134273,0.14627345047188162,0,0,0
2024-10-01,1057.25,5.448500156402588,-0.0019664741486979135,5.409951624858737,0.03854853154385118,0.24540760969392003,0,0,0
2024-10-02,1056.0,5.423999786376953,-0.001970549712044436,5.41277132082991,0.01122846554704271,0.07150722629438208,0,0,0
2024-10-03,1046.0,5.440299987792969,-0.001976896982687326,5.432647397568638,0.007652590224330957,0.04886530535390749,0,0,0
2024-10-04,1037.75,5.47629976272583,-0.0019838166052087484,5.449220763583504,0.0270789991423257,0.17340484882284407,0,0,0
2024-10-07,1034.0,5.4542999267578125,-0.0019902493952495106,5.457021002675267,-0.0027210759174547405,-0.017464850482559195,0,0,0
2024-10-08,1016.25,5.494200229644775,-0.0019945155977307834,5.492435856710157,0.0017643729346179526,0.011344708571219813,0,0,0
2024-10-09,1020.25,5.5346999168396,-0.0019995634091504715,5.484644378805124,0.050055538034476044,0.3224710186188557,0,0,0
2024-10-10,1014.75,5.596099853515625,-0.002003007286356058,5.4962718454250075,0.09982800809061754,0.643037134462965,0,0,0
2024-10-11,1005.5,5.581699848175049,-0.0020124957170248713,5.516380346828107,0.06531950134694142,0.42079607926370277,0,0,0
2024-10-14,996.0,5.610599994659424,-0.0020191529578547254,5.536609034639875,0.07399096001954852,0.47676411800480323,0,0,0
2024-10-15,991.0,5.594699859619141,-0.0020272408260616106,5.5480729826729736,0.04662687694616707,0.30054870790297666,0,0,0
2024-10-16,980.0,5.651999950408936,-0.0020346133543068523,5.571527236408369,0.08047271400056744,0.5191430755632027,0,0,0
2024-10-17,988.75,5.668000221252441,-0.002046183589827516,5.555578168061129,0.11242205319131227,0.7260612279699435,0,0,0
2024-10-18,970.0,5.651800155639648,-0.0020610483666612437,5.596660753927251,0.055139401712397174,0.3566051388676643,0,0,0
2024-10-21,981.0,5.635900020599365,-0.0020713018877242164,5.575509593523276,0.060390427076089104,0.39122449405551996,0,0,0
2024-10-22,991.75,5.68809986114502,-0.002078440671470672,5.554368373956942,0.13373148718807837,0.8666702568747809,0,0,0
2024-10-23,997.5,5.689300060272217,-0.0020896788739013664,5.544471237809926,0.14482882246229067,0.9378316139135471,0,0,0
2024-10-24,996.25,5.686500072479248,-0.0020996018916550206,5.549101726232035,0.13739834624721325,0.8883974547648452,0,0,0
2024-10-25,987.75,5.664000034332275,-0.002108437184217752,5.568875801802255,0.09512423253002034,0.6141882529977485,0,0,0
2024-10-28,974.0,5.685812950134277,-0.002116716803548935,5.599517272016733,0.08629567811754413,0.5569958538127194,0,0,0
2024-10-29,965.25,5.71019983291626,-0.0021220442810408087,5.619394269839216,0.09080556307704413,0.5857489832745121,0,0,0
2024-10-30,976.5,5.760000228881836,-0.0021320338956789696,5.597261612544608,0.16273861633722753,1.0501137667494709,0,0,0
2024-10-31,982.5,5.76230001449585,-0.002145823532080302,5.587094119255745,0.17520589524010433,1.129225223938976,0,0,0
2024-11-01,982.5,5.789400100708008,-0.0021579652120395517,5.589671261165565,0.19972883954244303,1.284403130174104,0,0,0
2024-11-04,987.25,5.677525997161865,-0.0021745766062367627,5.582563287088997,0.09496271007286783,0.6093020870746356,0,0,0
2024-11-05,993.75,5.790599822998047,-0.0021845218286842528,5.57005147132387,0.22054835167417686,1.4149117892335925,0,0,0
2024-11-06,994.5,5.739799976348877,-0.002201077996161957,5.57153525088092,0.16826472546795657,1.0759808691795336,0,0,0
2024-11-07,1015.5,5.674799919128418,-0.002214441973674666,5.5274623262784655,0.14733759284995251,0.9405254894778317,0,0,0
2024-11-08,1016.75,5.690999984741211,-0.0022248764031505535,5.52636793726817,0.16463204747304072,1.0495588498960242,0,0,0
2024-11-11,1011.75,5.736400127410889,-0.0022384597165470105,5.539545708929216,0.1968544184816725,1.2535652458491322,0,0,0
2024-11-12,1003.5,5.75540018081665,-0.002257874718357617,5.560963335211734,0.19443684560491636,1.2366975640805846,0,0,0
2024-11-13,1004.25,5.748199939727783,-0.0022792777554254936,5.56237214829324,0.18582779143454342,1.1812213910914657,0,0,0
2024-11-14,985.75,5.805900096893311,-0.002301415047332466,5.608085305694255,0.19781479119905665,1.256994483805328,0,0,0
2024-11-15,998.5,5.788300037384033,-0.0023200517774387614,5.581741493134147,0.2065585442498863,1.3099237207070642,0,0,0
2024-11-18,1009.75,5.794600009918213,-0.0023347961426414487,5.558097557179893,0.2365024527383195,1.4954255750957437,0,0,0
2024-11-19,998.5,5.746399879455566,-0.0023525864685626833,5.587422822722193,0.1589770567333737,1.0015683729504719,0,0,0
2024-11-20,990.5,5.7718000411987305,-0.002373001717828326,5.609254275500987,0.16254576569774315,1.0240591154803989,0,0,0
2024-11-21,977.75,5.770699977874756,-0.002393349814080719,5.642742294493649,0.1279576833811067,0.806144287615053,0,0,0
2024-11-22,983.5,5.814099788665772,-0.002407505644448251,5.631210079696304,0.18288970896946832,1.1517770797579447,0,0,0
2024-11-25,985.75,5.799300193786621,-0.002424223688792141,5.628573629239495,0.17072656454712654,1.0733099576675276,0,0,0
2024-11-26,983.5,5.797200202941895,-0.002443787130677106,5.63704203445619,0.1601581684857054,1.0062293542423688,0,0,0
2024-11-27,988.75,5.809599876403809,-0.0024615408902730444,5.626878352728575,0.18272152367523375,1.147074192303653,0,0,0
2024-11-29,989.5,6.013899803161621,-0.0024822114509642874,5.628046100301869,0.38585370285975173,2.4203523520734906,-1,-1,0
2024-12-02,985.25,5.973199844360352,-0.002510676213552858,5.643672783241032,0.32952706111931995,2.04619741098283,0,-1,1
2024-12-03,991.75,6.05679988861084,-0.0025318164123465645,5.631253583879857,0.4255463047309824,2.621700496736975,0,-1,2
2024-12-04,983.75,6.043099880218506,-0.0025595921611898972,5.656703921225561,0.3863959589929449,2.350836075049724,0,-1,3
2024-12-05,993.75,6.03879976272583,-0.0025838135208354654,5.635522373997337,0.40327738872849306,2.4280534976995325,0,-1,4
2024-12-06,993.75,6.010300159454346,-0.0026091323326172706,5.6400410228277185,0.37025913662662724,2.204952529402849,0,-1,5
2024-12-09,990.0,6.0883002281188965,-0.0026321152052125748,5.654000363769042,0.4342998643498541,2.5629795462085485,0,-1,6
2024-12-10,994.75,6.076600074768066,-0.002665553227953607,5.646812437281062,0.42978763748700466,2.5080657997486435,0,-1,7
2024-12-11,995.5,6.045300006866455,-0.002698806686974513,5.649950658131333,0.39534934873512206,2.283320307302865,0,-1,8
