Date,soy_usd,usdbrl
2011-06-23,1317.75,1.5870000123977661
2011-06-24,1320.25,1.590499997138977
2011-06-27,1329.75,1.590000033378601
2011-06-28,1330.75,1.5950000286102295
2011-06-29,1334.25,1.5779999494552612
2011-06-30,1306.25,1.569700002670288
2011-07-01,1322.25,1.561400055885315
2011-07-05,1332.25,1.5514999628067017
2011-07-06,1331.0,1.5636999607086182
2011-07-07,1345.5,1.569200038909912
2011-07-08,1352.0,1.5544999837875366
2011-07-11,1352.5,1.5618000030517578
2011-07-12,1366.5,1.5800000429153442
2011-07-13,1387.0,1.5746999979019165
2011-07-14,1390.5,1.5677000284194946
2011-07-15,1385.75,1.5765000581741333
2011-07-18,1385.5,1.5679999589920044
2011-07-19,1379.25,1.5750000476837158
2011-07-20,1378.25,1.565000057220459
2011-07-21,1380.25,1.5614999532699585
2011-07-22,1380.25,1.552299976348877
2011-07-25,1365.5,1.5539000034332275
2011-07-26,1383.0,1.544100046157837
2011-07-27,1375.75,1.5336999893188477
2011-07-28,1367.75,1.563099980354309
2011-07-29,1354.25,1.5628000497817993
2011-08-01,1358.75,1.5464999675750732
2011-08-02,1373.0,1.557800054550171
2011-08-03,1364.0,1.5633000135421753
2011-08-04,1339.25,1.562999963760376
2011-08-05,1331.5,1.576799988746643
2011-08-08,1309.25,1.593000054359436
2011-08-09,1298.75,1.5968999862670898
2011-08-10,1300.75,1.6282000541687012
2011-08-11,1333.75,1.621899962425232
2011-08-12,1337.0,1.6232999563217163
2011-08-15,1343.5,1.6114000082015991
2011-08-16,1340.0,1.5887000560760498
2011-08-17,1356.75,1.5841000080108643
2011-08-18,1352.0,1.5785000324249268
2011-08-19,1359.75,1.6069999933242798
2011-08-22,1376.5,1.5952999591827393
2011-08-23,1389.5,1.6024999618530273
2011-08-24,1386.5,1.5973000526428223
2011-08-25,1386.0,1.607300043106079
2011-08-26,1414.75,1.6089999675750732
2011-08-29,1438.0,1.600000023841858
2011-08-30,1448.75,1.5943000316619873
